cm_key,mvar2,mvar3,mvar4,mvar5
70098,0,0,2,3
70099,0,0,2,5
70100,3,0,3,184
70101,1,0,2,92
70102,1,90882,3,52
70103,0,16038,0,103
70104,3,42768,3,125
70105,3,14701,11,41
70106,2,157172,2,223
70107,0,16038,3,36
70108,2,0,4,17
70109,0,22453,9,7
70110,1,149688,3,17
70111,0,10157,4,150
70112,0,75913,4,355
70113,0,32076,3,11
70114,2,0,0,23
70115,0,0,0,47
70116,0,0,4,44
70117,0,0,3,84
70118,2,53460,2,117
70119,0,187110,7,8
70120,1,165726,4,131
70121,1,0,3,96
70122,1,369408,4,82
70123,1,4455,12,12
70124,5,0,2,304
70125,2,0,4,243
70126,4,0,4,28
70127,0,0,4,126
70128,5,0,3,93
70129,0,0,0,173
70130,0,0,2,136
70131,1,253935,9,8
70132,0,7484,6,3
70133,1,0,0,94
70134,1,0,2,231
70135,2,0,9,28
70136,1,0,1,35
70137,0,0,1,224
70138,0,0,0,215
70139,0,2673,4,12
70140,1,434629,7,3
70141,0,16038,3,7
70142,0,0,2,117
70143,0,0,5,108
70144,0,21384,8,36
70145,0,13365,5,14
70146,0,59340,2,217
70147,1,0,3,90
70148,2,0,4,34
70149,4,0,1,17
70150,3,93555,4,9
70151,1,0,3,82
70152,1,0,4,12
70153,4,0,2,355
70154,1,0,4,28
70155,1,0,0,115
70156,0,0,5,139
70157,0,96228,2,161
70158,0,0,2,46
70159,2,50787,3,12
70160,1,0,2,160
70161,0,0,4,21
70162,3,232016,2,28
70163,0,0,2,7
70164,0,0,3,2
70165,0,213840,2,41
70166,0,160380,5,188
70167,5,0,3,20
70168,0,80190,4,8
70169,0,17820,2,39
70170,0,0,5,85
70171,0,42768,3,161
70172,6,40095,2,273
70173,0,0,6,155
70174,0,0,5,54
70175,0,10692,3,28
70176,4,5880,4,31
70177,11,320760,4,2
70178,0,133650,1,83
70179,0,101574,2,35
70180,0,0,1,80
70181,5,2673,3,2
70182,1,0,4,17
70183,0,0,3,4
70184,1,53460,1,109
70185,5,0,0,283
70186,0,0,3,236
70187,0,0,3,41
70188,1,0,2,6
70189,1,0,2,11
70190,0,0,1,218
70191,0,0,3,117
70192,1,128304,5,11
70193,0,0,4,28
70194,4,12474,1,92
70195,0,0,1,10
70196,1,22453,2,9
70197,0,49896,1,6
70198,1,145945,3,7
70199,0,0,1,37
70200,1,75022,6,95
70201,2,0,4,279
70202,0,0,9,3
70203,0,11226,2,32
70204,3,0,5,78
70205,0,0,4,13
70206,2,16038,2,85
70207,1,80724,6,137
70208,0,0,3,72
70209,0,213305,0,6
70210,0,0,3,91
70211,1,7484,3,256
70212,0,90882,4,1
70213,0,25393,1,7
70214,0,160380,4,7
70215,0,0,2,48
70216,2,0,4,62
70217,0,0,11,7
70218,4,0,0,245
70219,0,19245,4,8
70220,0,0,1,306
70221,4,0,2,7
70222,0,0,0,28
70223,0,0,12,280
70224,0,0,0,28
70225,4,0,2,314
70226,0,0,1,6
70227,0,31006,0,138
70228,0,9088,2,101
70229,0,0,3,58
70230,4,5346,4,9
70231,1,0,6,123
70232,0,0,4,58
70233,1,0,1,80
70234,1,0,4,1
70235,0,0,3,198
70236,1,0,1,62
70237,1,21384,1,53
70238,0,48114,1,113
70239,0,377784,2,7
70240,0,91060,5,12
70241,1,72171,8,87
70242,5,0,0,207
70243,1,0,1,13
70244,0,0,3,2
70245,3,0,7,96
70246,0,0,4,16
70247,1,161092,8,191
70248,0,0,1,135
70249,5,213840,5,38
70250,0,44550,0,198
70251,0,0,9,21
70252,0,0,1,11
70253,4,390258,7,39
70254,0,0,5,6
70255,0,0,3,2
70256,1,31006,3,83
70257,0,0,4,14
70258,0,267300,2,40
70259,2,0,9,231
70260,4,133650,6,219
70261,0,36174,7,11
70262,0,0,3,108
70263,2,0,3,38
70264,0,0,4,62
70265,0,74309,5,355
70266,4,168933,4,37
70267,3,0,4,306
70268,0,78051,2,125
70269,1,0,0,12
70270,0,0,1,7
70271,0,0,4,335
70272,5,0,2,225
70273,1,0,2,91
70274,1,0,2,2
70275,0,0,2,89
70276,0,0,5,84
70277,2,27799,5,23
70278,0,0,3,30
70279,0,0,1,76
70280,1,0,3,96
70281,0,0,2,89
70282,5,0,1,231
70283,1,0,3,184
70284,1,99970,3,166
70285,1,68607,3,19
70286,4,5346,4,15
70287,0,0,3,3
70288,1,0,3,219
70289,0,0,4,21
70290,0,0,4,19
70291,0,64152,6,7
70292,1,0,3,320
70293,0,0,4,85
70294,6,0,4,355
70295,1,0,2,185
70296,1,0,2,103
70297,0,0,2,55
70298,4,187110,2,14
70299,0,183367,1,21
70300,0,16038,0,100
70301,2,256608,0,122
70302,2,0,2,18
70303,0,0,3,355
70304,4,0,5,39
70305,2,0,4,39
70306,0,0,0,207
70307,0,0,0,6
70308,0,0,7,14
70309,2,0,0,24
70310,0,0,1,41
70311,4,0,2,28
70312,0,70567,3,48
70313,1,0,4,7
70314,1,0,4,25
70315,0,0,4,97
70316,0,160380,3,139
70317,3,0,1,3
70318,0,40095,3,8
70319,0,0,0,15
70320,1,0,0,335
70321,5,60944,4,38
70322,1,0,3,144
70323,1,211701,1,97
70324,0,37422,7,35
70325,3,0,1,26
70326,0,70567,6,23
70327,0,0,2,237
70328,0,0,4,233
70329,0,48648,1,184
70330,2,0,2,55
70331,0,0,4,259
70332,0,108523,7,180
70333,4,434629,4,201
70334,1,69498,4,72
70335,0,0,3,237
70336,7,12830,5,39
70337,1,0,3,54
70338,0,0,3,45
70339,0,39738,1,10
70340,0,0,1,3
70341,0,213840,4,18
70342,7,95158,2,102
70343,4,153786,3,113
70344,5,143272,4,195
70345,0,0,1,101
70346,0,133650,1,69
70347,0,133650,4,340
70348,1,0,4,11
70349,4,0,1,7
70350,0,0,1,4
70351,2,26730,3,17
70352,4,53460,6,28
70353,2,0,2,17
70354,0,0,3,17
70355,0,33145,8,19
70356,0,0,2,17
70357,5,0,7,355
70358,6,0,1,123
70359,4,0,6,7
70360,1,74844,2,123
70361,0,0,2,27
70362,0,0,1,105
70363,1,0,2,9
70364,4,0,3,194
70365,2,0,2,197
70366,0,0,8,53
70367,1,0,2,48
70368,1,187110,4,21
70369,2,5880,1,80
70370,0,0,2,5
70371,2,106920,6,86
70372,0,0,2,13
70373,0,0,2,23
70374,1,52569,4,5
70375,0,0,1,47
70376,0,0,3,77
70377,0,138461,3,41
70378,0,5346,8,48
70379,1,0,7,62
70380,3,65755,4,14
70381,1,179536,2,335
70382,0,109593,3,191
70383,3,0,1,94
70384,0,0,1,62
70385,3,0,2,44
70386,0,0,4,19
70387,3,106920,0,7
70388,0,80190,5,184
70389,1,53460,4,6
70390,0,113157,4,14
70391,1,0,2,82
70392,0,0,3,55
70393,0,0,0,106
70394,1,0,4,108
70395,0,0,2,145
70396,0,149242,4,12
70397,0,0,4,264
70398,2,0,2,84
70399,0,112266,6,237
70400,1,0,5,6
70401,0,0,1,9
70402,1,0,3,15
70403,1,0,1,157
70404,1,0,7,284
70405,1,135788,1,57
70406,4,152895,3,13
70407,1,0,4,90
70408,1,68963,5,51
70409,0,267300,0,56
70410,2,32076,3,7
70411,0,0,2,35
70412,3,308998,1,46
70413,0,32610,8,135
70414,3,40095,2,21
70415,1,316483,6,87
70416,0,91416,2,141
70417,2,82328,4,5
70418,0,21384,8,62
70419,3,11583,9,8
70420,3,0,2,183
70421,1,0,1,31
70422,0,0,6,73
70423,4,0,3,27
70424,0,0,2,6
70425,0,0,4,202
70426,3,0,3,18
70427,1,0,4,7
70428,5,267300,1,89
70429,4,0,5,57
70430,4,0,8,32
70431,1,0,3,11
70432,0,0,1,324
70433,0,0,8,17
70434,1,0,4,15
70435,5,0,4,243
70436,8,224532,6,128
70437,0,160380,3,171
70438,0,41698,0,7
70439,1,133650,4,14
70440,1,0,4,59
70441,1,13365,8,36
70442,1,0,2,48
70443,0,0,4,15
70444,0,0,4,161
70445,0,10692,3,6
70446,0,0,4,9
70447,1,0,8,26
70448,0,0,3,107
70449,0,0,1,325
70450,0,0,2,162
70451,0,0,2,31
70452,0,50787,4,224
70453,0,0,4,52
70454,0,0,2,2
70455,3,0,2,28
70456,0,64152,2,9
70457,0,0,2,14
70458,0,0,12,22
70459,1,66290,4,188
70460,0,0,5,27
70461,8,0,0,144
70462,1,0,6,138
70463,3,0,4,16
70464,0,0,4,23
70465,0,114939,0,87
70466,5,35640,2,19
70467,0,0,4,33
70468,0,0,3,234
70469,1,106920,4,222
70470,1,0,4,210
70471,1,106920,8,1
70472,1,0,3,112
70473,0,37422,3,169
70474,0,0,0,172
70475,2,0,2,206
70476,5,26730,6,33
70477,2,0,4,44
70478,2,124027,6,72
70479,0,0,3,48
70480,1,0,8,225
70481,2,0,2,72
70482,4,128304,12,9
70483,1,0,5,16
70484,0,0,5,49
70485,0,86605,6,5
70486,0,0,7,146
70487,2,210097,8,2
70488,0,0,4,44
70489,0,0,6,48
70490,0,0,10,1
70491,0,102643,3,115
70492,0,111196,5,18
70493,1,218651,5,205
70494,3,0,4,96
70495,1,0,2,37
70496,1,37422,1,5
70497,5,236827,3,203
70498,1,0,1,240
70499,4,0,3,103
70500,0,8019,3,9
70501,0,67359,3,7
70502,0,173745,6,86
70503,0,165993,3,232
70504,4,67894,4,246
70505,2,0,3,17
70506,3,37422,1,136
70507,1,0,4,7
70508,0,208494,2,52
70509,11,0,3,27
70510,0,32076,1,41
70511,0,0,0,127
70512,0,0,4,170
70513,0,0,3,281
70514,0,0,2,26
70515,0,0,1,284
70516,0,101574,3,54
70517,1,0,1,40
70518,4,0,2,178
70519,1,7128,4,13
70520,3,0,0,22
70521,0,20849,3,21
70522,0,0,5,41
70523,4,0,3,77
70524,0,0,3,26
70525,0,102108,5,1
70526,0,0,1,32
70527,1,0,4,355
70528,4,0,3,5
70529,1,61479,3,145
70530,1,0,2,225
70531,0,133650,1,7
70532,0,0,0,116
70533,2,271220,3,14
70534,3,160380,5,2
70535,1,0,2,327
70536,0,0,2,97
70537,5,191208,3,90
70538,4,53460,3,137
70539,4,0,1,6
70540,5,70389,10,4
70541,0,312206,6,5
70542,0,0,2,13
70543,0,160380,0,90
70544,2,0,2,183
70545,1,0,0,5
70546,0,24591,1,113
70547,0,110662,4,1
70548,1,0,1,334
70549,0,0,3,17
70550,5,0,0,30
70551,0,0,4,12
70552,0,0,0,44
70553,0,0,6,21
70554,0,0,0,16
70555,2,0,4,2
70556,0,0,1,25
70557,2,0,3,5
70558,0,65221,4,179
70559,0,0,2,287
70560,8,0,1,137
70561,0,229878,0,189
70562,2,0,0,69
70563,1,60588,2,10
70564,1,0,2,150
70565,2,0,4,130
70566,1,160380,6,32
70567,1,0,2,102
70568,1,0,1,96
70569,1,0,1,87
70570,0,0,4,157
70571,0,0,4,77
70572,0,0,4,192
70573,3,0,4,150
70574,1,0,4,135
70575,2,0,3,74
70576,4,0,4,224
70577,1,126165,4,220
70578,0,267300,4,8
70579,1,2673,9,11
70580,0,0,2,198
70581,0,106920,4,28
70582,0,118681,2,9
70583,4,0,6,98
70584,2,12563,2,5
70585,0,160380,6,54
70586,0,101574,1,34
70587,1,0,1,4
70588,1,0,1,7
70589,3,27264,3,267
70590,2,0,7,130
70591,0,118681,5,123
70592,3,0,5,170
70593,1,0,5,1
70594,0,0,5,71
70595,0,0,4,288
70596,1,0,1,156
70597,1,31541,3,18
70598,0,53460,3,201
70599,2,26730,2,14
70600,1,0,2,157
70601,0,0,1,355
70602,0,0,4,18
70603,2,0,3,96
70604,4,0,2,301
70605,0,0,3,117
70606,1,0,6,65
70607,0,0,1,1
70608,1,201544,4,9
70609,0,17107,4,22
70610,0,0,1,41
70611,0,84466,5,21
70612,0,88209,6,15
70613,0,0,0,69
70614,0,0,3,204
70615,4,10692,3,17
70616,0,0,2,28
70617,0,0,4,45
70618,0,0,4,82
70619,7,0,0,185
70620,2,0,4,12
70621,0,8820,2,6
70622,0,0,4,48
70623,4,95158,3,133
70624,0,0,4,14
70625,0,0,4,46
70626,5,434629,3,65
70627,0,0,4,190
70628,0,56133,8,10
70629,0,0,3,121
70630,0,106920,4,10
70631,0,434629,3,3
70632,0,0,4,13
70633,0,0,4,19
70634,0,184437,5,8
70635,3,0,7,163
70636,3,0,2,37
70637,1,85536,1,94
70638,0,0,1,3
70639,0,0,3,26
70640,0,117612,8,97
70641,0,0,3,7
70642,1,0,8,13
70643,0,0,2,2
70644,1,16038,4,51
70645,0,73240,3,322
70646,2,28512,3,67
70647,0,0,1,10
70648,3,196020,3,7
70649,1,0,3,91
70650,0,0,4,346
70651,1,128304,2,141
70652,0,24057,3,14
70653,4,0,2,9
70654,2,37422,8,75
70655,0,0,3,212
70656,2,374220,8,38
70657,0,0,1,19
70658,0,0,0,14
70659,0,5346,4,85
70660,0,80190,1,120
70661,4,44371,1,161
70662,1,0,2,68
70663,0,0,4,13
70664,0,0,4,28
70665,4,11761,1,75
70666,2,0,4,87
70667,2,0,3,94
70668,0,18711,2,7
70669,1,0,6,66
70670,0,73774,9,1
70671,1,0,2,73
70672,3,42768,6,12
70673,0,0,3,48
70674,0,106920,7,28
70675,4,0,2,55
70676,0,0,1,15
70677,2,0,4,86
70678,0,183902,1,70
70679,1,0,2,291
70680,0,350697,8,229
70681,0,116008,6,259
70682,1,0,3,100
70683,2,60409,8,5
70684,1,0,4,189
70685,0,0,7,21
70686,4,0,2,291
70687,1,0,3,157
70688,0,0,1,156
70689,0,112266,8,55
70690,0,0,2,109
70691,1,0,4,140
70692,1,0,4,180
70693,3,51499,0,13
70694,5,171072,5,324
70695,0,0,3,113
70696,0,0,0,50
70697,0,0,4,24
70698,0,0,2,39
70699,0,0,1,6
70700,0,123492,4,52
70701,2,0,2,5
70702,2,0,4,12
70703,5,10692,4,33
70704,0,123492,4,49
70705,1,0,1,42
70706,1,0,1,66
70707,5,85536,2,118
70708,1,0,3,9
70709,2,0,3,2
70710,0,0,2,21
70711,0,0,1,231
70712,0,0,4,246
70713,4,0,0,12
70714,0,0,3,46
70715,2,0,4,71
70716,0,28868,4,57
70717,1,0,3,28
70718,0,0,1,13
70719,0,0,1,80
70720,0,374220,2,89
70721,2,101039,2,268
70722,3,0,2,166
70723,2,0,0,4
70724,1,160380,2,99
70725,0,89100,8,5
70726,1,0,3,324
70727,0,0,1,13
70728,2,0,1,3
70729,0,5346,6,158
70730,1,0,4,35
70731,1,57736,3,102
70732,0,284941,8,37
70733,0,74844,0,78
70734,1,53460,4,7
70735,1,4276,0,58
70736,6,133650,1,39
70737,0,0,2,196
70738,0,0,5,225
70739,1,0,4,93
70740,0,0,3,7
70741,5,53460,4,5
70742,0,0,4,78
70743,0,100504,4,166
70744,1,37422,6,134
70745,3,16038,2,27
70746,0,0,3,10
70747,1,0,1,81
70748,1,187110,2,43
70749,0,0,4,51
70750,1,53460,4,104
70751,1,105850,2,31
70752,0,106920,4,58
70753,0,0,2,86
70754,0,0,2,54
70755,2,122690,1,355
70756,1,0,4,184
70757,0,0,5,18
70758,0,0,3,2
70759,1,0,4,69
70760,4,0,8,232
70761,1,0,1,17
70762,2,434629,3,178
70763,7,320760,3,41
70764,4,0,3,239
70765,0,0,1,1
70766,3,101574,5,28
70767,0,133650,2,43
70768,0,0,4,272
70769,0,0,4,82
70770,0,0,4,22
70771,0,106920,4,5
70772,0,0,4,41
70773,4,0,5,321
70774,0,0,2,39
70775,0,39025,0,18
70776,0,0,1,225
70777,1,0,2,229
70778,4,264092,4,116
70779,1,5346,4,171
70780,0,0,2,204
70781,4,0,3,13
70782,1,0,3,98
70783,1,125631,1,49
70784,0,434629,3,7
70785,4,0,1,42
70786,3,0,7,19
70787,0,413780,12,7
70788,0,0,8,7
70789,2,0,1,3
70790,4,0,4,4
70791,1,36887,4,35
70792,5,0,5,34
70793,3,53460,8,57
70794,0,0,3,45
70795,4,0,1,23
70796,0,106920,0,75
70797,0,0,4,11
70798,0,75913,2,51
70799,0,0,3,55
70800,1,0,0,70
70801,0,117077,2,109
70802,0,0,1,74
70803,0,45441,6,10
70804,5,0,3,38
70805,7,192456,4,10
70806,4,0,2,355
70807,2,0,4,85
70808,1,0,6,86
70809,0,226670,4,24
70810,0,181764,3,88
70811,1,0,3,21
70812,0,0,1,87
70813,0,355509,5,4
70814,0,0,1,1
70815,2,63617,2,7
70816,0,0,3,55
70817,0,0,4,52
70818,1,15147,4,121
70819,3,0,4,350
70820,0,434629,4,212
70821,0,0,2,12
70822,1,24948,10,12
70823,0,0,4,14
70824,2,0,4,22
70825,2,0,4,118
70826,1,0,8,75
70827,0,133650,3,175
70828,4,0,4,82
70829,0,32076,1,90
70830,0,0,2,77
70831,0,0,8,3
70832,1,0,2,155
70833,0,0,4,20
70834,1,0,2,123
70835,1,0,4,66
70836,2,325036,2,2
70837,5,93555,4,7
70838,2,0,4,8
70839,0,37422,4,25
70840,4,0,2,355
70841,0,0,6,95
70842,0,0,3,21
70843,0,0,1,116
70844,0,32076,10,16
70845,3,0,2,20
70846,0,0,2,144
70847,2,0,1,5
70848,0,0,1,96
70849,2,0,5,51
70850,0,0,4,100
70851,1,0,12,41
70852,1,0,2,222
70853,1,0,3,50
70854,1,72349,8,7
70855,0,96228,4,5
70856,0,0,1,153
70857,0,0,1,13
70858,3,0,7,182
70859,0,22096,5,12
70860,1,53460,2,7
70861,0,0,5,55
70862,6,27799,5,36
70863,2,0,1,79
70864,0,0,4,220
70865,0,336798,5,114
70866,0,0,2,214
70867,0,0,4,14
70868,3,94624,2,14
70869,0,0,6,180
70870,0,0,2,120
70871,3,0,2,191
70872,0,0,3,103
70873,0,0,3,16
70874,0,133650,2,11
70875,0,64152,4,5
70876,0,0,3,3
70877,2,96228,2,89
70878,0,96228,4,79
70879,1,0,3,44
70880,1,0,2,44
70881,2,415918,11,78
70882,1,0,3,80
70883,4,119750,4,64
70884,1,5346,1,42
70885,7,0,2,91
70886,0,0,2,50
70887,0,0,3,1
70888,0,414315,3,29
70889,2,65755,2,28
70890,1,17107,2,28
70891,2,160380,2,87
70892,1,0,1,110
70893,3,0,12,14
70894,0,0,1,14
70895,3,0,1,249
70896,1,0,1,157
70897,4,133650,1,324
70898,3,0,1,137
70899,1,0,1,53
70900,0,133650,1,229
70901,8,0,3,176
70902,0,0,3,132
70903,3,16038,4,46
70904,0,0,2,228
70905,0,0,8,178
70906,5,0,6,292
70907,4,0,2,23
70908,0,0,2,82
70909,0,221324,5,41
70910,1,187110,3,267
70911,0,56667,3,1
70912,1,0,2,186
70913,3,26730,7,14
70914,2,0,2,7
70915,1,0,1,47
70916,2,48114,4,34
70917,0,0,3,2
70918,0,11850,4,16
70919,3,434629,6,168
70920,0,0,2,108
70921,1,0,4,144
70922,0,0,2,5
70923,1,0,3,225
70924,2,227205,4,16
70925,0,0,2,344
70926,0,0,2,27
70927,1,42768,3,79
70928,4,0,3,5
70929,0,0,2,17
70930,0,0,1,80
70931,0,0,4,301
70932,0,148084,1,10
70933,0,0,6,27
70934,2,0,1,93
70935,0,0,2,123
70936,0,59340,2,14
70937,0,0,3,4
70938,0,0,2,251
70939,0,0,3,35
70940,3,0,0,255
70941,0,106920,3,68
70942,0,0,1,35
70943,0,0,0,9
70944,0,0,2,69
70945,0,0,4,22
70946,0,0,4,7
70947,1,0,4,231
70948,1,8019,0,105
70949,2,187822,4,265
70950,0,0,1,164
70951,0,0,4,58
70952,0,0,2,46
70953,4,0,1,89
70954,3,0,4,127
70955,0,0,5,18
70956,0,0,1,63
70957,0,0,11,30
70958,5,0,5,3
70959,2,28512,4,73
70960,2,53460,12,24
70961,0,0,3,28
70962,2,0,2,168
70963,0,0,4,186
70964,1,110484,8,244
70965,3,0,2,14
70966,0,0,4,305
70967,0,69498,2,20
70968,0,159667,4,6
70969,1,4455,3,60
70970,0,0,0,5
70971,4,0,2,25
70972,2,0,2,75
70973,6,0,4,195
70974,0,0,1,35
70975,0,0,7,41
70976,0,0,2,69
70977,0,0,2,25
70978,0,0,2,68
70979,1,0,4,106
70980,0,0,2,44
70981,1,156637,0,27
70982,2,234154,6,355
70983,0,0,3,21
70984,0,10692,3,34
70985,4,40896,2,7
70986,0,0,2,1
70987,3,188179,2,286
70988,2,0,4,47
70989,4,26730,3,2
70990,0,0,5,318
70991,0,208494,5,67
70992,0,0,4,30
70993,3,0,1,7
70994,3,0,4,192
70995,1,0,1,238
70996,6,0,5,32
70997,0,64152,4,22
70998,1,80190,2,260
70999,1,31185,7,32
71000,0,0,3,325
71001,0,0,3,1
71002,0,0,1,33
71003,1,0,4,53
71004,1,129373,1,146
71005,0,0,0,40
71006,0,0,4,74
71007,2,0,3,104
71008,0,0,5,58
71009,0,0,3,1
71010,1,66290,4,355
71011,5,0,0,334
71012,1,0,2,146
71013,0,0,4,9
71014,0,0,1,183
71015,4,0,4,32
71016,0,0,8,10
71017,1,0,8,8
71018,1,0,6,186
71019,1,0,2,25
71020,5,0,1,157
71021,0,80190,3,9
71022,1,0,1,4
71023,0,20849,6,13
71024,0,0,4,55
71025,0,35640,3,45
71026,5,102375,4,61
71027,1,0,5,15
71028,0,0,2,7
71029,0,0,1,355
71030,0,244134,2,229
71031,0,0,1,211
71032,0,0,0,55
71033,2,106920,0,41
71034,0,0,0,37
71035,2,55598,4,246
71036,2,16038,1,165
71037,0,0,2,5
71038,0,0,1,174
71039,0,53994,3,8
71040,1,0,1,18
71041,0,0,1,125
71042,2,2673,4,178
71043,0,0,4,7
71044,0,0,5,61
71045,1,106920,6,48
71046,6,2673,6,17
71047,0,0,4,19
71048,2,0,3,66
71049,4,0,1,284
71050,8,0,4,47
71051,0,0,5,294
71052,8,0,2,7
71053,0,0,1,82
71054,0,0,6,41
71055,3,342144,9,97
71056,0,0,5,24
71057,1,77517,4,18
71058,0,0,0,16
71059,2,32076,0,103
71060,1,267300,4,90
71061,3,0,0,27
71062,11,0,4,160
71063,0,209028,3,122
71064,1,0,3,3
71065,3,0,1,28
71066,4,0,3,260
71067,2,5346,1,122
71068,0,0,0,85
71069,2,106920,2,30
71070,1,0,3,89
71071,4,0,5,249
71072,0,0,0,80
71073,0,48114,2,25
71074,1,133650,12,83
71075,1,0,2,191
71076,4,0,5,7
71077,1,0,1,137
71078,4,299376,12,3
71079,0,0,0,48
71080,1,44371,2,7
71081,2,0,1,60
71082,1,0,3,263
71083,0,53460,1,182
71084,2,0,4,355
71085,2,0,2,336
71086,1,0,2,28
71087,0,0,1,334
71088,1,0,4,18
71089,0,179982,12,1
71090,0,0,2,21
71091,0,0,1,170
71092,1,0,1,62
71093,1,24057,3,241
71094,0,0,2,165
71095,0,0,1,154
71096,1,16038,3,74
71097,1,112266,4,31
71098,2,0,2,355
71099,1,0,1,6
71100,0,130977,4,7
71101,4,133650,10,319
71102,0,64864,2,21
71103,3,0,6,3
71104,0,89100,3,140
71105,6,0,2,29
71106,1,32076,6,6
71107,0,0,3,26
71108,1,0,0,153
71109,1,0,4,49
71110,0,0,1,23
71111,6,0,2,60
71112,3,21384,10,146
71113,3,0,2,45
71114,2,0,10,305
71115,0,267300,3,108
71116,0,0,1,168
71117,3,70567,7,32
71118,0,0,4,242
71119,3,0,3,40
71120,0,0,2,176
71121,2,0,0,16
71122,1,416988,2,79
71123,1,0,0,14
71124,0,0,7,35
71125,0,0,2,229
71126,0,0,0,313
71127,11,0,3,1
71128,1,0,1,276
71129,0,370477,6,3
71130,3,10692,4,133
71131,1,165726,0,42
71132,5,0,3,102
71133,0,5346,4,265
71134,1,0,1,101
71135,4,251262,1,29
71136,1,0,3,12
71137,0,4276,4,139
71138,0,14256,3,6
71139,0,85536,2,222
71140,3,97297,4,9
71141,0,434629,5,355
71142,1,0,2,284
71143,1,0,2,86
71144,0,37422,5,30
71145,1,0,1,80
71146,0,155034,2,81
71147,4,0,2,158
71148,8,0,3,141
71149,0,62370,5,21
71150,0,134006,4,10
71151,0,0,0,47
71152,0,115830,10,5
71153,0,0,7,39
71154,0,0,4,13
71155,0,0,1,5
71156,0,65755,4,1
71157,0,0,2,66
71158,0,0,4,17
71159,1,0,4,23
71160,3,0,3,81
71161,2,0,4,3
71162,4,0,2,121
71163,0,0,0,60
71164,1,0,5,16
71165,0,0,4,8
71166,1,0,3,208
71167,0,0,4,28
71168,0,187110,2,5
71169,0,0,4,15
71170,0,0,1,217
71171,0,0,5,239
71172,1,0,3,223
71173,0,0,1,5
71174,0,9622,2,195
71175,0,73240,2,258
71176,0,0,4,20
71177,0,128304,4,6
71178,2,0,3,355
71179,0,0,5,47
71180,0,75913,2,56
71181,0,15503,0,182
71182,0,0,4,185
71183,0,288684,1,56
71184,1,111375,1,92
71185,0,5346,9,96
71186,0,0,1,3
71187,1,129373,2,66
71188,0,0,1,82
71189,1,53460,8,5
71190,2,0,2,326
71191,0,14434,1,81
71192,0,0,4,220
71193,1,194059,2,69
71194,0,132580,8,25
71195,0,189248,4,28
71196,1,259281,3,168
71197,1,0,0,57
71198,1,214107,1,258
71199,1,133650,4,3
71200,1,0,2,313
71201,1,0,3,342
71202,0,0,2,115
71203,0,434629,4,1
71204,0,0,2,301
71205,5,133650,4,227
71206,2,0,0,133
71207,0,400950,8,98
71208,0,267300,1,124
71209,0,0,2,5
71210,0,68963,2,31
71211,0,0,2,49
71212,4,0,4,13
71213,0,96228,9,5
71214,1,0,2,63
71215,9,8019,2,22
71216,0,47579,4,193
71217,1,0,4,103
71218,0,360855,4,58
71219,6,0,1,228
71220,0,0,2,108
71221,0,18711,0,32
71222,0,0,3,246
71223,4,0,5,48
71224,0,187110,2,210
71225,0,0,0,28
